,Longitude,Latitude,Lubrak,Shenxian,DevilsCave_N,Japan_Jomon,Russia_Afanasievo,Russia_Shamanka_EBA,Hmong,Mongolia_N_North,Erdaojingzi_LN,Taiwan_Hanben
Anhui,117.28,31.86,0.02,0.215,0.027,0.003,0.003,0.005,0.018,0.009,0.672,0.029
Beijing,116.41,39.92,0.03,0.21,0.035,0.004,0.007,0.006,0.022,0.01,0.655,0.022
Chongqing,106.45,29.57,0.021,0.283,0.012,0.003,0.002,0.002,0.04,0.004,0.593,0.039
Fujian,118.34,26.09,0.043,0.299,0.006,0.005,0,0.002,0.034,0.007,0.561,0.044
Gansu,103.73,36.07,0.065,0.164,0.047,0.003,0.021,0.009,0.012,0.016,0.648,0.014
Guangdong,113.25,23.19,0.001,0.427,0.008,0.003,0,0.001,0.037,0,0.451,0.072
Guangxi,108.34,22.83,0.007,0.563,0.004,0.002,0,0.001,0.065,0.003,0.298,0.057
Guizhou,106.76,26.57,0.031,0.304,0.006,0.004,0.001,0.003,0.1,0.007,0.515,0.028
Hainan,110.23,20.06,0.01,0.398,0.01,0.004,0.002,0.002,0.034,0.003,0.471,0.066
Hebei,115.48,38.03,0.034,0.146,0.053,0.004,0.013,0.009,0.011,0.011,0.705,0.014
Heilongjiang,127.63,47.75,0.024,0.159,0.051,0.006,0.006,0.007,0.013,0.013,0.707,0.013
Henan,113.65,34.78,0.027,0.181,0.032,0.002,0.01,0.002,0.019,0.011,0.689,0.027
Hubei,114.32,30.57,0.013,0.265,0.017,0.003,0.001,0.004,0.023,0.005,0.631,0.038
Hunan,113.12,28.26,0.014,0.334,0.01,0.003,0,0.002,0.065,0.004,0.526,0.042
Inner_Mongolia,111.67,41.81,0.03,0.102,0.233,0.006,0.026,0.026,0.008,0.025,0.534,0.01
Jiangsu,119.78,32.05,0.013,0.228,0.021,0.003,0.001,0.002,0.014,0.004,0.678,0.035
Jiangxi,115.94,28.67,0.004,0.287,0.014,0.003,0,0.003,0.025,0.004,0.61,0.048
Jilin,125.35,43.88,0.031,0.156,0.055,0.005,0.005,0.008,0.011,0.015,0.696,0.02
Liaoning,123.38,41.8,0.033,0.164,0.054,0.005,0.007,0.005,0.014,0.01,0.689,0.018
Ningxia,106.23,38.52,0.057,0.163,0.051,0.004,0.037,0.011,0.012,0.014,0.637,0.016
Qinghai,101.78646,36.62716,0.156,0.115,0.058,0.004,0.046,0.013,0.016,0.022,0.56,0.01
Shaanxi,108.96,34.26,0.039,0.169,0.048,0.002,0.016,0.007,0.012,0.014,0.674,0.018
Shandong,117,36.67,0.029,0.153,0.046,0.005,0.003,0.005,0.011,0.01,0.721,0.018
Shanghai,121.55,31.23,0.011,0.24,0.014,0.003,0.001,0.003,0.016,0.005,0.67,0.038
Shanxi,112.53,37.86,0.035,0.158,0.045,0.002,0.013,0.01,0.012,0.009,0.699,0.018
Sichuan,104.12,30.67,0.221,0.154,0.01,0.003,0.001,0.007,0.034,0.026,0.531,0.015
Taiwan,121.57463,25.04094,0.003,0.276,0.008,0.002,0.001,0.001,0.011,0.001,0.307,0.39
Tianjin,117.2,39.13,0.027,0.158,0.051,0.004,0.009,0.006,0.016,0.013,0.703,0.013
Tibet,79.54848,42.71073,0.442,0.029,0.016,0.004,0.01,0.011,0.009,0.032,0.442,0.005
Xinjiang,87.63,43.85,0.043,0.166,0.079,0.006,0.083,0.015,0.019,0.015,0.558,0.017
Yunnan,102.73,25.05,0.095,0.244,0.02,0.004,0.004,0.005,0.032,0.016,0.558,0.022
Zhejiang,120.2,30.28,0,0.245,0.021,0.003,0.001,0,0.018,0,0.678,0.035
