gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000152583	SPARCL1	997.439773207048	4.60252577163923	0.211778828743698	21.7327000953876	1.00703200604906e-104	1.87257601524823e-100
ENSG00000148175	STOM	11193.718773887	1.45146586719379	0.084804361003293	17.1154625778907	1.13808012274279e-65	1.05812999412011e-61
ENSG00000179094	PER1	776.596665468835	3.1838573514971	0.201521650659804	15.7990833296214	3.15673424404462e-56	1.95664910893366e-52
ENSG00000134686	PHC2	2737.98198594824	1.38714066746595	0.0915634480865398	15.1495023009063	7.63425330777086e-52	3.54897350644998e-48
ENSG00000125148	MT2A	3656.252782247	2.20343866036448	0.14740618039236	14.9480751383657	1.60316405901163e-50	5.96216713546425e-47
ENSG00000120129	DUSP1	3409.02937530956	2.94898346907198	0.201625814661933	14.6260213456127	1.91672779924604e-48	5.94025890449669e-45
ENSG00000189221	MAOA	2341.76725275591	3.30520082373063	0.228130359258016	14.4882111897805	1.43840152362137e-47	3.82101090453419e-44
ENSG00000109906	ZBTB16	385.071028862516	7.17606761953534	0.496675193198487	14.4482102545185	2.5728477179664e-47	5.98026291444815e-44
ENSG00000178695	KCTD12	2649.85014895882	-2.4999128097086	0.178938610549592	-13.9707847402546	2.35022692153554e-44	4.85582995621704e-41
ENSG00000101347	SAMHD1	12703.3870621821	3.85772301171142	0.279528286890039	13.8008323044207	2.51927062945748e-43	4.68458373547618e-40
ENSG00000162614	NEXN	5393.10168349223	2.02992669497688	0.151716887140972	13.3797017143564	7.94656356554307e-41	1.34333045001158e-37
ENSG00000196517	SLC6A9	229.640742740425	-2.21693042358496	0.166635192276521	-13.3040949711637	2.19130420754563e-40	3.39560847827592e-37
ENSG00000096060	FKBP5	2564.36222687268	3.93840312931697	0.297106872393999	13.2558466170186	4.17379927994873e-40	5.97013827774205e-37
ENSG00000116584	ARHGEF2	2250.59694884394	-1.01451616944707	0.0822959364777669	-12.3276581185895	6.42880636467567e-35	7.96957695674294e-32
ENSG00000162616	DNAJB4	1467.63582703992	1.52093888859687	0.123375527682162	12.3277194202977	6.42391836010434e-35	7.96957695674294e-32
