国家(中文别名)	国家(英文别名)	国家(中文标准)	国家(英文标准)
阿富汗	Afghanistan	阿富汗	Afghanistan
阿尔巴尼亚	Albania	阿尔巴尼亚	Albania
阿尔及利亚	Algeria	阿尔及利亚	Algeria
安哥拉	Angola	安哥拉	Angola
南极洲	Antarctica	南极洲	Antarctica
阿根廷	Argentina	阿根廷	Argentina
	Armenia	亚美尼亚	Armenia
阿鲁巴	Aruba	阿鲁巴	Aruba
阿森松岛	Ascension	阿森松岛	Saint_Helena_Ascension_and_Tristan_da_Cunha
阿森松岛	Ascension Island	阿森松岛	Saint_Helena_Ascension_and_Tristan_da_Cunha
阿森松岛	Ascension_Island	阿森松岛	Saint_Helena_Ascension_and_Tristan_da_Cunha
澳大利亚	Australia	澳大利亚	Australia
	Austria	奥地利	Austria
阿塞拜疆	Azerbaijan	阿塞拜疆	Azerbaijan
孟加拉	Bangladesh	孟加拉	Bangladesh
	Bengal		Bangladesh
白俄罗斯	Belarus	白俄罗斯	Belarus
比利时	Belgium	比利时	Belgium
不丹	Bhutan	不丹	Bhutan
玻利维亚	Bolivia	玻利维亚	Bolivia
	Botswana	博茨瓦纳	Botswana
巴西	Brazil	巴西	Brazil
文莱达鲁萨兰国	Brunei	文莱达鲁萨兰国	Brunei
文莱	Brunei	文莱达鲁萨兰国	Brunei
布基纳法索	BurkinaFaso	布基纳法索	Burkina_Faso
布基纳法索	Burkina_Faso	布基纳法索	Burkina_Faso
柬埔寨	Cambodia	柬埔寨	Cambodia
	Cameroon		Cameroon
加拿大	Canada	加拿大	Canada
中非共和国	Central African	中非共和国	Central_African_Republic
中非共和国	Central African Republic	中非共和国	Central_African_Republic
中非共和国	Central_African	中非共和国	Central_African_Republic
中非共和国	Central_African_Republic	中非共和国	Central_African_Republic
	Chad		Chad
智利	Chile	智利	Chile
中国	China	中国	China
	China	中华人民共和国	China
哥伦比亚	Colombia	哥伦比亚	Colombia
刚果	Congo	刚果	Congo
刚果	Democratic_Republic_of_Congo	刚果	Congo
库克群岛	Cook_Islands	库克群岛	Cook_Islands
	Cyprus	塞浦路斯	Cyprus
捷克共和国	Czech Republic	捷克共和国	Czechia
捷克共和国	Czech_Republic	捷克共和国	Czechia
丹麦	Denmark	丹麦	Denmark
多米尼加共和国	Dominican Republic	多米尼加共和国	Dominican_Republic
多米尼加共和国	Dominican_Republic	多米尼加共和国	Dominican_Republic
厄瓜多尔	Ecuador	厄瓜多尔	Ecuador
埃及	Egypt	埃及	Egypt
爱沙尼亚	Estonia	爱沙尼亚	Estonia
斐济	Fiji	斐济	Fiji
芬兰	Finland	芬兰	Finland
法国	France	法国	France
法属南部领地	French Southern Territories	法属南部领地	France
法属南部领地	French_Southern_Territories	法属南部领地	France
冈比亚	Gambia	冈比亚	Gambia
	Georgia	格鲁吉亚	Georgia
德国	Germany	德国	Germany
希腊	Greece	希腊	Greece
危地马拉	Guatemala	危地马拉	Guatemala
几内亚	Guinea	几内亚	Guinea
海地	Haiti	海地	Haiti
洪都拉斯	Honduras	洪都拉斯	Honduras
	Hungary	匈牙利	Hungary
印度	India	印度	India
印度尼西亚	Indonesia	印度尼西亚	Indonesia
伊朗	Iran	伊朗	Iran
伊拉克	Iraq	伊拉克	Iraq
爱尔兰	Ireland	爱尔兰	Ireland
以色列	Israel	以色列	Israel
意大利	Italy	意大利	Italy
牙买加	Jamaica	牙买加	Jamaica
日本	Japan	日本	Japan
约旦	Jordan	约旦	Jordan
哈萨克斯坦	Kazakhstan	哈萨克斯坦	Kazakhstan
肯尼亚	Kenya	肯尼亚	Kenya
基里巴斯	Kiribati	基里巴斯	Kiribati
科威特	Kuwait	科威特	Kuwait
吉尔吉斯斯坦	Kyrgyzstan	吉尔吉斯斯坦	Kyrgyzstan
老挝	Laos	老挝	Laos
黎巴嫩	Lebanon	黎巴嫩	Lebanon
	Libya		Libya
立陶宛	Lithuania	立陶宛	Lithuania
卢森堡	Luxembourg	卢森堡	Luxembourg
马达加斯加	Madagascar	马达加斯加	Madagascar
